usage_id,account_id,feature_name,usage_date,usage_count,usage_duration_secs,error_count,is_beta_feature
USG_000001,ACC_00001,SSO,2022-07-11,3,1275,0,0
USG_000002,ACC_00001,Webhook,2022-07-11,7,3507,0,0
USG_000003,ACC_00001,Bulk Import,2022-07-11,3,756,0,0
USG_000004,ACC_00001,Dashboard Export,2022-07-11,6,1296,0,0
USG_000005,ACC_00001,Mobile App,2022-07-11,18,7686,0,0
USG_000006,ACC_00001,SSO,2022-07-13,4,1528,0,0
USG_000007,ACC_00001,Webhook,2022-07-13,15,795,0,0
USG_000008,ACC_00001,Bulk Import,2022-07-13,4,1820,0,0
USG_000009,ACC_00001,Dashboard Export,2022-07-13,17,8177,0,0
USG_000010,ACC_00001,Mobile App,2022-07-13,18,10458,0,0
USG_000011,ACC_00001,SSO,2022-07-20,4,712,0,0
USG_000012,ACC_00001,Webhook,2022-07-20,13,2886,1,0
USG_000013,ACC_00001,Bulk Import,2022-07-20,14,1442,0,0
USG_000014,ACC_00001,Dashboard Export,2022-07-20,1,209,1,0
USG_000015,ACC_00001,Mobile App,2022-07-20,16,6880,0,0
USG_000016,ACC_00001,SSO,2022-07-26,14,4914,0,0
USG_000017,ACC_00001,Webhook,2022-07-26,2,98,0,0
USG_000018,ACC_00001,Bulk Import,2022-07-26,2,762,1,0
USG_000019,ACC_00001,Dashboard Export,2022-07-26,3,426,0,0
USG_000020,ACC_00001,Mobile App,2022-07-26,4,1264,0,0
USG_000021,ACC_00001,SSO,2022-07-30,4,844,0,0
USG_000022,ACC_00001,Webhook,2022-07-30,9,864,0,0
USG_000023,ACC_00001,Bulk Import,2022-07-30,15,4800,0,0
USG_000024,ACC_00001,Dashboard Export,2022-07-30,3,1398,0,0
USG_000025,ACC_00001,Mobile App,2022-07-30,16,3360,0,0
USG_000026,ACC_00001,SSO,2022-08-02,2,524,0,0
USG_000027,ACC_00001,Webhook,2022-08-02,4,120,0,0
USG_000028,ACC_00001,Bulk Import,2022-08-02,4,1952,0,0
USG_000029,ACC_00001,Dashboard Export,2022-08-02,1,461,0,0
USG_000030,ACC_00001,Mobile App,2022-08-02,6,1806,0,0
USG_000031,ACC_00001,SSO,2022-08-05,10,3380,0,0
USG_000032,ACC_00001,Webhook,2022-08-05,3,822,1,0
USG_000033,ACC_00001,Bulk Import,2022-08-05,2,758,0,0
USG_000034,ACC_00001,Dashboard Export,2022-08-05,6,2250,0,0
USG_000035,ACC_00001,Mobile App,2022-08-05,3,915,0,0
USG_000036,ACC_00001,SSO,2022-08-06,1,70,0,0
USG_000037,ACC_00001,Webhook,2022-08-06,11,1925,0,0
USG_000038,ACC_00001,Bulk Import,2022-08-06,3,1134,0,0
USG_000039,ACC_00001,Dashboard Export,2022-08-06,11,6017,0,0
USG_000040,ACC_00001,Mobile App,2022-08-06,15,6570,0,0
USG_000041,ACC_00001,SSO,2022-08-12,2,662,0,0
USG_000042,ACC_00001,Webhook,2022-08-12,10,2290,0,0
USG_000043,ACC_00001,Bulk Import,2022-08-12,17,3026,0,0
USG_000044,ACC_00001,Dashboard Export,2022-08-12,10,4330,0,0
USG_000045,ACC_00001,Mobile App,2022-08-12,17,8891,0,0
USG_000046,ACC_00001,SSO,2022-08-16,6,3432,0,0
USG_000047,ACC_00001,Webhook,2022-08-16,3,1512,0,0
USG_000048,ACC_00001,Bulk Import,2022-08-16,9,5247,0,0
USG_000049,ACC_00001,Dashboard Export,2022-08-16,2,396,0,0
USG_000050,ACC_00001,Mobile App,2022-08-16,18,5688,0,0
USG_000051,ACC_00001,SSO,2022-08-25,18,7182,0,0
USG_000052,ACC_00001,Webhook,2022-08-25,13,468,0,0
USG_000053,ACC_00001,Bulk Import,2022-08-25,17,3536,0,0
USG_000054,ACC_00001,Dashboard Export,2022-08-25,4,740,0,0
USG_000055,ACC_00001,Mobile App,2022-08-25,6,714,0,0
USG_000056,ACC_00001,SSO,2022-08-27,15,4680,0,0
USG_000057,ACC_00001,Webhook,2022-08-27,15,3660,0,0
USG_000058,ACC_00001,Bulk Import,2022-08-27,8,4632,0,0
USG_000059,ACC_00001,Dashboard Export,2022-08-27,11,3344,0,0
USG_000060,ACC_00001,Mobile App,2022-08-27,5,1465,0,0
USG_000061,ACC_00001,SSO,2022-09-04,3,294,0,0
USG_000062,ACC_00001,Webhook,2022-09-04,1,150,0,0
USG_000063,ACC_00001,Bulk Import,2022-09-04,12,888,0,0
USG_000064,ACC_00001,Dashboard Export,2022-09-04,15,6090,0,0
USG_000065,ACC_00001,Mobile App,2022-09-04,5,185,0,0
USG_000066,ACC_00001,SSO,2022-09-08,4,672,0,0
USG_000067,ACC_00001,Webhook,2022-09-08,2,538,0,0
USG_000068,ACC_00001,Bulk Import,2022-09-08,1,535,0,0
USG_000069,ACC_00001,Dashboard Export,2022-09-08,3,1074,0,0
USG_000070,ACC_00001,Mobile App,2022-09-08,8,2712,0,0
USG_000071,ACC_00001,SSO,2022-09-11,3,1179,0,0
USG_000072,ACC_00001,Webhook,2022-09-11,2,844,0,0
USG_000073,ACC_00001,Bulk Import,2022-09-11,3,630,0,0
