subscription_id,account_id,plan_tier,mrr_amount,arr_amount,start_date,end_date,billing_frequency,auto_renew_flag
SUB_00001,ACC_00001,Enterprise,11618,139416,2022-07-07,,Monthly,1
SUB_00002,ACC_00001,Enterprise,11618,139416,2022-08-06,,Monthly,1
SUB_00003,ACC_00001,Enterprise,11618,139416,2022-09-05,,Annual,1
SUB_00004,ACC_00001,Enterprise,11618,139416,2022-10-05,,Annual,1
SUB_00005,ACC_00001,Enterprise,11618,139416,2022-11-04,,Monthly,1
SUB_00006,ACC_00001,Enterprise,11618,139416,2022-12-04,,Annual,1
SUB_00007,ACC_00001,Enterprise,11618,139416,2023-01-03,,Monthly,1
SUB_00008,ACC_00001,Enterprise,11618,139416,2023-02-02,,Monthly,1
SUB_00009,ACC_00001,Enterprise,11618,139416,2023-03-04,,Annual,0
SUB_00010,ACC_00001,Enterprise,11618,139416,2023-04-03,,Annual,1
SUB_00011,ACC_00001,Enterprise,11618,139416,2023-05-03,,Monthly,1
SUB_00012,ACC_00001,Enterprise,11618,139416,2023-06-02,,Monthly,1
SUB_00013,ACC_00001,Enterprise,11618,139416,2023-07-02,,Monthly,1
SUB_00014,ACC_00001,Enterprise,11618,139416,2023-08-01,,Annual,1
SUB_00015,ACC_00001,Enterprise,11618,139416,2023-08-31,,Monthly,1
SUB_00016,ACC_00001,Enterprise,11618,139416,2023-09-30,,Annual,1
SUB_00017,ACC_00001,Enterprise,11618,139416,2023-10-30,,Annual,1
SUB_00018,ACC_00001,Enterprise,11618,139416,2023-11-29,,Annual,0
SUB_00019,ACC_00001,Enterprise,11618,139416,2023-12-29,,Monthly,1
SUB_00020,ACC_00001,Enterprise,11618,139416,2024-01-28,,Monthly,1
SUB_00021,ACC_00001,Enterprise,11618,139416,2024-02-27,,Monthly,1
SUB_00022,ACC_00001,Enterprise,11618,139416,2024-03-28,,Annual,1
SUB_00023,ACC_00001,Enterprise,11618,139416,2024-04-27,,Monthly,1
SUB_00024,ACC_00001,Enterprise,11618,139416,2024-05-27,,Annual,1
SUB_00025,ACC_00001,Enterprise,11618,139416,2024-06-26,,Monthly,1
SUB_00026,ACC_00001,Enterprise,11618,139416,2024-07-26,,Annual,1
SUB_00027,ACC_00001,Enterprise,11618,139416,2024-08-25,,Monthly,1
SUB_00028,ACC_00001,Enterprise,11618,139416,2024-09-24,,Annual,1
SUB_00029,ACC_00001,Enterprise,11618,139416,2024-10-24,,Monthly,1
SUB_00030,ACC_00001,Enterprise,11618,139416,2024-11-23,,Annual,1
SUB_00031,ACC_00001,Enterprise,11618,139416,2024-12-23,,Annual,1
SUB_00032,ACC_00002,Enterprise,15642,187704,2022-01-24,,Monthly,1
SUB_00033,ACC_00002,Enterprise,15642,187704,2022-02-23,,Monthly,1
SUB_00034,ACC_00002,Enterprise,15642,187704,2022-03-25,,Monthly,1
SUB_00035,ACC_00002,Enterprise,15642,187704,2022-04-24,,Annual,1
SUB_00036,ACC_00002,Enterprise,15642,187704,2022-05-24,,Annual,1
SUB_00037,ACC_00002,Enterprise,15642,187704,2022-06-23,,Monthly,1
SUB_00038,ACC_00002,Enterprise,15642,187704,2022-07-23,,Monthly,1
SUB_00039,ACC_00002,Enterprise,15642,187704,2022-08-22,,Monthly,0
