ticket_id,account_id,created_date,resolved_date,priority,category,resolution_time_hours,satisfaction_score,escalation_flag
TKT_000001,ACC_00001,2023-09-03,2023-09-05,Low,Performance,61.0,,0
TKT_000002,ACC_00001,2024-08-16,2024-08-21,Low,Integration,126.0,3.0,0
TKT_000003,ACC_00001,2024-04-23,2024-04-28,Low,Integration,133.0,4.0,0
TKT_000004,ACC_00001,2022-08-04,2022-08-07,Low,Billing,79.0,3.0,0
TKT_000005,ACC_00001,2023-10-08,2023-10-10,Low,How-To,67.0,,0
TKT_000006,ACC_00001,2024-10-05,2024-10-05,Critical,Performance,4.0,4.0,0
TKT_000007,ACC_00001,2023-02-21,2023-02-24,Low,Integration,73.0,3.0,0
TKT_000008,ACC_00001,2024-10-11,2024-10-15,Low,Billing,118.0,3.0,0
TKT_000009,ACC_00001,2024-12-05,2024-12-07,Low,Integration,48.0,5.0,0
TKT_000010,ACC_00001,2024-07-27,2024-07-30,Low,Billing,85.0,3.0,0
TKT_000011,ACC_00001,2022-11-23,2022-11-24,Low,Billing,27.0,5.0,0
TKT_000012,ACC_00001,2023-01-22,2023-01-22,High,Performance,15.0,3.0,0
TKT_000013,ACC_00002,2023-04-19,2023-04-19,High,Bug,17.0,4.0,1
TKT_000014,ACC_00002,2023-05-28,2023-05-28,High,Billing,18.0,2.0,0
TKT_000015,ACC_00002,2023-08-25,2023-08-26,Low,Feature Request,42.0,1.0,1
TKT_000016,ACC_00002,2023-08-28,2023-08-30,Low,Feature Request,70.0,3.0,0
TKT_000017,ACC_00002,2022-04-20,2022-04-23,Low,Billing,92.0,2.0,0
TKT_000018,ACC_00002,2022-05-25,2022-05-27,Low,Billing,57.0,5.0,0
TKT_000019,ACC_00002,2023-02-26,2023-02-28,Low,Integration,65.0,4.0,0
TKT_000020,ACC_00002,2023-07-21,2023-07-23,Low,How-To,53.0,1.0,0
TKT_000021,ACC_00002,2022-04-03,2022-04-05,Low,Billing,65.0,2.0,0
TKT_000022,ACC_00002,2022-10-30,2022-11-01,Medium,Billing,51.0,1.0,0
TKT_000023,ACC_00002,2023-07-11,2023-07-14,Low,Bug,86.0,2.0,0
TKT_000024,ACC_00003,2023-12-23,2023-12-29,Low,Billing,152.0,5.0,0
TKT_000025,ACC_00003,2023-12-25,2023-12-29,Low,Feature Request,117.0,4.0,0
TKT_000026,ACC_00003,2024-10-19,2024-10-22,Low,Bug,81.0,3.0,0
TKT_000027,ACC_00003,2024-10-07,2024-10-08,Low,Billing,33.0,3.0,0
TKT_000028,ACC_00004,2023-09-06,2023-09-08,Medium,Integration,50.0,3.0,0
TKT_000029,ACC_00004,2023-06-10,2023-06-13,Low,How-To,84.0,2.0,0
TKT_000030,ACC_00004,2022-08-21,2022-08-24,Low,Performance,93.0,4.0,0
TKT_000031,ACC_00004,2024-01-24,2024-01-24,High,Feature Request,22.0,3.0,1
TKT_000032,ACC_00004,2023-02-09,2023-02-13,Low,Feature Request,97.0,2.0,0
TKT_000033,ACC_00004,2022-11-14,2022-11-18,Low,Bug,119.0,4.0,0
TKT_000034,ACC_00004,2024-02-13,2024-02-19,Low,Feature Request,161.0,3.0,0
TKT_000035,ACC_00004,2023-06-23,2023-06-25,Medium,Feature Request,48.0,2.0,0
TKT_000036,ACC_00004,2023-11-05,2023-11-10,Low,Integration,128.0,4.0,0
TKT_000037,ACC_00004,2024-06-06,2024-06-11,Low,Bug,128.0,,0
TKT_000038,ACC_00004,2024-12-27,2024-12-28,Low,Feature Request,43.0,3.0,0
TKT_000039,ACC_00004,2023-12-20,2023-12-21,Medium,How-To,28.0,,0
TKT_000040,ACC_00004,2024-05-06,2024-05-12,Low,Billing,153.0,3.0,0
TKT_000041,ACC_00004,2023-03-19,2023-03-21,Low,Billing,60.0,,0
TKT_000042,ACC_00004,2022-11-02,2022-11-04,Low,Bug,66.0,3.0,0
TKT_000043,ACC_00004,2023-03-19,2023-03-19,High,How-To,4.0,3.0,0
TKT_000044,ACC_00005,2023-01-30,2023-02-04,Low,Billing,124.0,3.0,0
TKT_000045,ACC_00005,2022-12-13,2022-12-14,Low,Feature Request,25.0,1.0,0
TKT_000046,ACC_00005,2023-04-17,2023-04-23,Low,Billing,159.0,3.0,0
TKT_000047,ACC_00005,2023-06-22,2023-06-26,Low,Integration,111.0,2.0,0
TKT_000048,ACC_00005,2022-11-26,2022-11-27,Low,Integration,43.0,4.0,0
TKT_000049,ACC_00005,2023-04-23,2023-04-23,High,Bug,18.0,3.0,0
TKT_000050,ACC_00005,2022-11-05,2022-11-07,Low,Integration,56.0,2.0,0
TKT_000051,ACC_00005,2022-12-29,2022-12-29,Medium,Billing,13.0,1.0,0
TKT_000052,ACC_00005,2023-07-27,2023-07-29,Medium,Billing,58.0,,0
TKT_000053,ACC_00005,2022-12-23,2022-12-25,Low,Bug,69.0,2.0,0
TKT_000054,ACC_00005,2022-11-06,2022-11-12,Low,Integration,146.0,3.0,1
TKT_000055,ACC_00005,2023-09-03,2023-09-06,Low,How-To,79.0,3.0,0
TKT_000056,ACC_00005,2022-11-06,2022-11-08,Low,Feature Request,55.0,3.0,1
TKT_000057,ACC_00005,2023-04-06,2023-04-07,Medium,Performance,32.0,2.0,0
TKT_000058,ACC_00006,2024-11-16,2024-11-17,Low,Integration,42.0,1.0,1
TKT_000059,ACC_00006,2024-10-12,2024-10-15,Low,Feature Request,82.0,5.0,0
TKT_000060,ACC_00006,2024-03-07,2024-03-09,Low,How-To,70.0,,0
TKT_000061,ACC_00006,2024-04-02,2024-04-04,Medium,Feature Request,57.0,2.0,0
TKT_000062,ACC_00006,2023-07-31,2023-08-05,Low,Performance,123.0,3.0,0
TKT_000063,ACC_00006,2022-12-31,2023-01-06,Low,Feature Request,158.0,3.0,0
TKT_000064,ACC_00007,2023-09-07,2023-09-08,Low,Performance,46.0,,0
TKT_000065,ACC_00007,2023-09-24,2023-09-24,Critical,Performance,7.0,4.0,0
TKT_000066,ACC_00007,2024-09-21,2024-09-24,Low,Integration,79.0,5.0,0
TKT_000067,ACC_00008,2023-05-21,2023-05-26,Low,Billing,127.0,5.0,0
TKT_000068,ACC_00008,2023-05-04,2023-05-06,Medium,Billing,53.0,2.0,0
TKT_000069,ACC_00008,2024-05-11,2024-05-17,Low,Integration,160.0,4.0,0
TKT_000070,ACC_00008,2023-02-06,2023-02-06,High,Performance,13.0,,0
TKT_000071,ACC_00008,2023-09-15,2023-09-16,Low,Performance,33.0,2.0,0
TKT_000072,ACC_00008,2024-04-17,2024-04-20,Low,Performance,72.0,2.0,0
TKT_000073,ACC_00008,2022-12-27,2022-12-31,Low,Billing,106.0,,0
TKT_000074,ACC_00008,2023-01-24,2023-01-24,Critical,How-To,5.0,5.0,1
TKT_000075,ACC_00008,2023-02-15,2023-02-20,Low,Performance,126.0,4.0,0
TKT_000076,ACC_00009,2024-10-20,2024-10-22,Low,How-To,55.0,5.0,0
TKT_000077,ACC_00009,2024-11-20,2024-11-22,Medium,Billing,70.0,4.0,0
TKT_000078,ACC_00010,2024-06-14,2024-06-14,High,Performance,14.0,3.0,0
TKT_000079,ACC_00010,2024-02-25,2024-02-29,Low,Integration,98.0,4.0,0
TKT_000080,ACC_00010,2024-10-02,2024-10-06,Low,Performance,107.0,,0
TKT_000081,ACC_00010,2024-06-08,2024-06-14,Low,Billing,154.0,,0
TKT_000082,ACC_00010,2024-03-16,2024-03-16,Critical,Performance,4.0,1.0,0
TKT_000083,ACC_00010,2024-05-08,2024-05-09,Low,Bug,28.0,3.0,0
TKT_000084,ACC_00011,2023-09-22,2023-09-22,High,Bug,20.0,,0
TKT_000085,ACC_00011,2023-11-10,2023-11-13,Low,Integration,85.0,4.0,0
TKT_000086,ACC_00011,2024-08-02,2024-08-03,Medium,Billing,35.0,,0
TKT_000087,ACC_00011,2024-08-01,2024-08-01,High,Feature Request,22.0,5.0,0
TKT_000088,ACC_00011,2023-04-24,2023-04-30,Low,Billing,149.0,2.0,0
TKT_000089,ACC_00011,2023-12-05,2023-12-05,Medium,Integration,14.0,1.0,0
TKT_000090,ACC_00011,2023-07-17,2023-07-23,Low,Bug,153.0,,0
TKT_000091,ACC_00011,2023-04-13,2023-04-16,Low,Integration,73.0,,0
TKT_000092,ACC_00011,2023-04-03,2023-04-06,Low,Performance,73.0,4.0,0
TKT_000093,ACC_00011,2022-08-12,2022-08-15,Low,Feature Request,88.0,4.0,0
TKT_000094,ACC_00011,2024-03-05,2024-03-05,High,Integration,11.0,3.0,0
TKT_000095,ACC_00011,2024-11-23,2024-11-27,Low,Integration,99.0,3.0,0
TKT_000096,ACC_00011,2023-10-09,2023-10-15,Low,Bug,153.0,5.0,0
TKT_000097,ACC_00012,2024-02-04,2024-02-10,Low,How-To,167.0,,0
TKT_000098,ACC_00012,2024-04-08,2024-04-09,Medium,Integration,26.0,4.0,1
TKT_000099,ACC_00012,2024-12-11,2024-12-12,Medium,Feature Request,45.0,,0
TKT_000100,ACC_00012,2023-06-14,2023-06-16,Low,Billing,61.0,,0
TKT_000101,ACC_00012,2023-12-23,2023-12-23,High,Feature Request,12.0,4.0,0
TKT_000102,ACC_00012,2023-07-22,2023-07-25,Low,Bug,91.0,4.0,0
TKT_000103,ACC_00012,2023-02-18,2023-02-22,Low,Integration,98.0,,0
TKT_000104,ACC_00012,2022-08-29,2022-08-29,High,Billing,4.0,3.0,1
TKT_000105,ACC_00012,2022-08-26,2022-09-01,Low,Performance,161.0,,0
TKT_000106,ACC_00012,2023-10-10,2023-10-11,Low,Integration,32.0,3.0,0
TKT_000107,ACC_00014,2023-05-04,2023-05-04,Critical,How-To,7.0,4.0,0
TKT_000108,ACC_00014,2024-03-05,2024-03-05,Critical,Billing,7.0,4.0,0
TKT_000109,ACC_00014,2023-12-08,2023-12-12,Low,Feature Request,112.0,3.0,0
TKT_000110,ACC_00014,2023-12-25,2023-12-26,Medium,Feature Request,45.0,2.0,0
TKT_000111,ACC_00014,2024-08-03,2024-08-09,Low,Feature Request,146.0,4.0,0
TKT_000112,ACC_00014,2024-03-19,2024-03-25,Low,Bug,155.0,2.0,0
TKT_000113,ACC_00014,2023-03-10,2023-03-15,Low,Integration,136.0,2.0,1
TKT_000114,ACC_00014,2023-05-02,2023-05-02,Medium,Bug,15.0,4.0,1
TKT_000115,ACC_00014,2024-12-05,2024-12-06,Low,Performance,41.0,,0
TKT_000116,ACC_00014,2023-01-21,2023-01-27,Low,Feature Request,155.0,,0
TKT_000117,ACC_00015,2023-11-05,2023-11-05,High,Bug,11.0,,0
TKT_000118,ACC_00015,2024-03-03,2024-03-05,Low,Performance,59.0,1.0,0
TKT_000119,ACC_00015,2023-02-16,2023-02-18,Medium,Bug,63.0,5.0,0
TKT_000120,ACC_00015,2023-01-21,2023-01-23,Low,Bug,64.0,3.0,0
TKT_000121,ACC_00015,2023-06-09,2023-06-11,Medium,Feature Request,50.0,4.0,0
TKT_000122,ACC_00015,2023-03-18,2023-03-20,Low,Bug,48.0,3.0,0
TKT_000123,ACC_00015,2023-08-10,2023-08-14,Low,Bug,110.0,4.0,0
TKT_000124,ACC_00015,2024-10-04,2024-10-05,Medium,Billing,42.0,,0
TKT_000125,ACC_00015,2023-11-22,2023-11-22,High,Billing,11.0,4.0,0
TKT_000126,ACC_00015,2024-09-14,2024-09-14,High,Bug,6.0,4.0,0
TKT_000127,ACC_00015,2023-07-07,2023-07-11,Low,Integration,108.0,5.0,0
TKT_000128,ACC_00015,2022-08-29,2022-09-03,Low,Integration,131.0,5.0,0
TKT_000129,ACC_00015,2023-01-16,2023-01-20,Low,Integration,99.0,4.0,0
TKT_000130,ACC_00015,2024-08-14,2024-08-20,Low,Feature Request,149.0,4.0,0
TKT_000131,ACC_00015,2024-07-26,2024-07-28,Low,Feature Request,56.0,3.0,0
