account_id,plan_tier,industry,referral_source,total_tickets,avg_csat,avg_res_time,has_sso,has_webhook,active_days_last_month,churn_flag
ACC_00001,Enterprise,Education,Organic Search,12,4.0,70.0,1,1,7,0
ACC_00003,Basic,SaaS,LinkedIn,4,4.0,96.0,0,0,5,0
ACC_00004,Basic,Finance,Events,16,3.0,80.0,1,0,10,0
ACC_00006,Basic,Healthcare,Content Marketing,6,3.0,89.0,0,1,10,0
ACC_00007,Enterprise,Healthcare,Partnership,3,5.0,44.0,0,0,4,0
ACC_00008,Basic,E-commerce,Direct,9,3.0,77.0,0,0,14,0
ACC_00009,Pro,Real Estate,Events,2,5.0,63.0,1,1,9,0
ACC_00011,Basic,Real Estate,Paid Search,13,3.0,75.0,1,1,10,0
ACC_00012,Basic,Finance,Content Marketing,10,4.0,70.0,1,0,5,0
ACC_00014,Pro,Manufacturing,LinkedIn,10,3.0,82.0,1,0,9,0
ACC_00015,Enterprise,Media,Paid Search,17,4.0,64.0,0,1,11,0
ACC_00016,Pro,Real Estate,LinkedIn,20,4.0,52.0,1,1,12,0
ACC_00017,Basic,Healthcare,LinkedIn,12,4.0,57.0,1,1,13,0
ACC_00018,Enterprise,Consulting,LinkedIn,6,4.0,47.0,1,1,12,0
ACC_00019,Pro,SaaS,Content Marketing,8,4.0,69.0,0,1,7,0
ACC_00020,Basic,Manufacturing,LinkedIn,18,3.0,76.0,1,1,5,0
ACC_00021,Basic,Marketing,LinkedIn,5,4.0,109.0,0,0,6,0
ACC_00022,Basic,Real Estate,Paid Search,12,4.0,68.0,0,1,6,0
ACC_00023,Basic,Marketing,Paid Search,18,4.0,71.0,0,1,8,0
ACC_00024,Pro,Marketing,Content Marketing,5,4.0,89.0,0,1,6,0
ACC_00025,Basic,Education,Content Marketing,5,3.0,78.0,1,1,12,0
ACC_00027,Basic,Healthcare,Organic Search,7,4.0,47.0,1,1,12,0
ACC_00028,Basic,Consulting,Direct,10,3.0,57.0,0,1,10,0
ACC_00029,Basic,Consulting,Paid Search,2,3.0,36.0,0,0,5,0
ACC_00031,Enterprise,SaaS,Organic Search,4,4.0,101.0,1,1,8,0
ACC_00032,Enterprise,Consulting,Organic Search,11,3.0,79.0,0,0,6,0
ACC_00033,Pro,Consulting,Organic Search,19,3.0,65.0,1,1,13,0
